date,client_type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2012-07-31,Client,210238,303859,664050.0,219658.0,361563,404810,664468,754539,73949,42021,54127,33320,1756631.0,2029971.0
2012-07-31,DII,28643,481,15680.0,20824.0,134624,65009,0,0,33,0,0,0,243989.0,21305.0
2012-07-31,FII,320805,186088,251970.0,629599.0,428901,528031,247281,142455,14097,7772,12411,8849,1551576.0,1226683.0
2012-07-31,Pro,54640,123898,130142.0,191761.0,229149,247229,242488,348085,26037,21904,47578,29528,709101.0,983338.0
2012-07-31,TOTAL,614326,614326,1061842.0,1061842.0,1154237,1245079,1154237,1245079,114116,71697,114116,71697,4261297.0,4261297.0
2012-08-01,Client,209804,306764,666739.0,224152.0,366173,445907,694300,786852,76975,45716,58481,37040,1811314.0,2107589.0
2012-08-01,DII,28626,492,15826.0,22637.0,134624,65003,0,0,33,0,0,0,244112.0,23129.0
2012-08-01,FII,327064,193395,256837.0,631165.0,450376,536864,245832,147893,15716,10734,12549,10331,1597591.0,1241165.0
2012-08-01,Pro,56770,121613,132424.0,193872.0,233733,250249,244774,363278,27996,22246,49690,31325,723418.0,1004552.0
2012-08-01,TOTAL,622264,622264,1071826.0,1071826.0,1184906,1298023,1184906,1298023,120720,78696,120720,78696,4376435.0,4376435.0
2012-08-02,Client,212808,300299,671782,225196,388044,451614,714961,813465,83035,48330,61612,39068,1855613,2154601
2012-08-02,DII,28318,4310,16114,23063,134624,66160,0,0,33,0,0,0,245249,27373
2012-08-02,FII,332127,202053,255555,635161,471940,578812,254672,149906,16433,11077,13206,10477,1665944,1265475
2012-08-02,Pro,57423,124014,133700,193731,234072,250924,259047,384139,28872,22773,53555,32635,727764,1047121
2012-08-02,TOTAL,630676,630676,1077151,1077151,1228680,1347510,1228680,1347510,128373,82180,128373,82180,4494570,4494570
2012-08-03,Client,217841,288369,680233,225126,407233,435764,756508,823336,93649,47517,65017,41071,1882237,2199427
2012-08-03,DII,24973,2897,16047,23860,134624,108275,0,0,33,0,0,0,283952,26757
2012-08-03,FII,327438,211817,254580,642273,485126,599232,259270,174948,16054,12616,14941,9501,1695046,1312750
2012-08-03,Pro,55036,122205,138056,197657,248263,256055,259468,401042,29305,24301,59083,33862,751016,1073317
2012-08-03,TOTAL,625288,625288,1088916,1088916,1275246,1399326,1275246,1399326,139041,84434,139041,84434,4612251,4612251
2012-08-06,Client,208700,305183,675480,232469,417041,492355,788983,830821,98555,55762,68143,43681,1947893,2269280
2012-08-06,DII,24818,4358,17308,23700,134662,108117,0,0,33,0,0,0,284938,28058
2012-08-06,FII,340617,209102,266775,633204,493792,596254,267217,170721,16352,13616,16793,11060,1727406,1308097
2012-08-06,Pro,58733,114225,134637,204827,287240,226376,276535,421560,32573,23911,62577,38548,763470,1118272
2012-08-06,TOTAL,632868,632868,1094200,1094200,1332735,1423102,1332735,1423102,147513,93289,147513,93289,4723707,4723707
2012-08-07,Client,201556,327189,664161,244665,385335,593546,826493,875129,99537,64144,70694,44907,2008279,2389077
2012-08-07,DII,24540,4164,18361,23127,136282,107088,0,0,84,0,0,0,286355,27291
2012-08-07,FII,374304,212014,279014,626397,526436,613296,256095,183722,17653,15012,18642,12177,1825715,1309047
2012-08-07,Pro,62552,119585,140259,207606,308869,222719,274334,477798,35404,22418,63342,44490,792221,1187155
2012-08-07,TOTAL,662952,662952,1101795,1101795,1356922,1536649,1356922,1536649,152678,101574,152678,101574,4912570,4912570
2012-08-08,Client,197113,340305,660358,249311,394938,643008,805140,909560,106430,72181,75387,47961,2074028,2427664
2012-08-08,DII,24099,4214,18371,23282,137282,107143,0,0,65,0,0,0,286960,27496
2012-08-08,FII,394190,203332,282040,623066,540485,617803,261605,191815,18779,14217,18640,12473,1867514,1310931
2012-08-08,Pro,61799,129350,138870,203980,297907,212058,303867,478637,37168,23332,68415,49296,771134,1233545
2012-08-08,TOTAL,677201,677201,1099639,1099639,1370612,1580012,1370612,1580012,162442,109730,162442,109730,4999636,4999636
2012-08-09,Client,202235,348140,684532,254790,424690,635561,844476,900210,128912,80307,82760,51179,2156237,2481555
2012-08-09,DII,23748,4214,18662,26775,137982,107088,0,0,65,0,0,0,287545,30989
2012-08-09,FII,400491,206453,278387,631531,554466,630658,266661,197853,21712,15615,21748,13515,1901329,1337761
2012-08-09,Pro,60149,127816,141818,210303,288288,218189,294289,493433,36447,24791,82628,56019,769682,1264488
2012-08-09,TOTAL,686623,686623,1123399,1123399,1405426,1591496,1405426,1591496,187136,120713,187136,120713,5114793,5114793
2012-08-10,Client,201656,347991,710410,246932,425057,643838,850464,897253,163723,81989,89518,54804,2226673,2486962
2012-08-10,DII,24249,6454,17313,27394,137978,107088,0,0,65,0,0,0,286693,33848
2012-08-10,FII,404284,210569,272771,650137,554622,637366,271256,206726,21378,16648,23732,14758,1907069,1377178
2012-08-10,Pro,60059,125234,149528,225559,280248,228054,276185,512367,35642,27811,107558,56886,781342,1303789
2012-08-10,TOTAL,690248,690248,1150022,1150022,1397905,1616346,1397905,1616346,220808,126448,220808,126448,5201777,5201777
2012-08-13,Client,206153,356716,723283,244218,435744,653041,834968,897343,175222,86405,93673,56932,2279848,2483850
2012-08-13,DII,24818,6261,14220,28131,137978,107088,0,0,65,0,0,0,284169,34392
2012-08-13,FII,414792,222126,267561,660573,544882,647859,273343,221079,20970,18532,26201,14474,1914596,1417796
2012-08-13,Pro,65231,125891,154796,226938,272516,241931,282809,531497,36468,28029,112851,61560,798971,1341546
2012-08-13,TOTAL,710994,710994,1159860,1159860,1391120,1649919,1391120,1649919,232725,132966,232725,132966,5277584,5277584
